|id |lv |codes           |doorplate|name   |foods   |
|---|---|----------------|---------|-------|--------|
|7  |10 |艾尔巴·托伦可 - A区 - 5|7010005  |芋头丝加醋好吃|HP+5000 |
|9  |10 |暂无              |暂无       |谙音     |暴击+30   |
|11 |9  |暂无              |暂无       |故友     |暴击+30   |
|12 |10 |暂无              |暂无       |晦朔之行   |暴击+30   |
|13 |9  |暂无              |暂无       |晦朔之行   |灵巧+26   |
|14 |10 |暂无              |暂无       |折月沉舟   |MP+1000 |
|15 |10 |暂无              |暂无       |sjd123 |仇恨值-100%|
|16 |10 |暂无              |暂无       |疯狂盛夏   |仇恨值-100%|
|17 |10 |暂无              |暂无       |波姆大魔王  |MP+1000 |
|18 |9  |暂无              |暂无       |风吹花落尽  |灵巧+26   |
|19 |9  |暂无              |暂无       |恝然过路人  |攻回+26   |
|20 |10 |暂无              |暂无       |皆可123  |攻回+30   |
|21 |9  |暂无              |暂无       |芊梦云波姆  |攻回+26   |
|22 |10 |暂无              |暂无       |七雨     |MP+1000 |
|23 |10 |暂无              |暂无       |戴斯     |MP+1000 |
|24 |10 |暂无              |暂无       |东方羡歌仙  |物抗+50%  |
